Year,Month,,Temp,TMax,Tmin,SLP,Humidity,PPresure,VVisiblity,VavgWindSpeed,VMWindSpeed,VGspeed,RAin,SNow,TStrom,FoG
2016,1,,19.9,24.8,14.3,1015.2,62.4,2.79,2,1.7,5.1,,1,0,0,11
2016,2,,24.1,29.3,18.3,1013.9,57,4.07,2.4,1.2,4.6,,2,0,0,8
2016,3,,27.4,33.1,21.9,1010.8,56.9,57.92,3.6,2.3,7,,8,0,5,1
2016,4,,30.2,34.8,26.8,1005.4,72.1,33.53,4.4,4.4,8.6,,5,0,2,0
2016,5,,28.5,33.3,24.6,1004.8,73.2,179.58,4.2,3.8,9.4,,11,0,9,0
2016,6,,31,34.5,27.7,1003.7,70.3,10.17,4.7,3.1,5.7,,4,0,3,0
2016,7,,29,32.2,26.1,1001.7,81.7,368.05,4.5,2.4,5.7,,22,0,4,0
2016,8,,29.5,33.2,26.8,1001.3,78.1,172.98,4.8,2.1,5.5,,18,0,4,0
2016,9,,29,32.7,26.7,1004.3,81.9,143.77,4.6,0.9,4.3,,18,0,6,0
2016,10,,28.3,33,25.4,1006.9,74.3,73.9,4.6,0.9,4.4,,11,0,6,0
2016,11,,24.1,29.5,20.3,1011.2,72.8,24.13,4.2,0.9,4.3,,4,0,1,0
2016,12,,21.6,27.6,17.2,1013.3,70,0,3.5,1.2,3.6,,0,0,0,0
2017,1,,20.8,26.2,15.5,1013.5,62.8,0,3.2,1.6,4.2,,0,0,0,1
2017,2,,23.7,29.4,18.5,1011.2,58,0.51,3.8,1.3,3.8,,0,0,0,1
2017,3,,25,30.1,20.1,1009.5,64.5,98.81,4.2,1.8,5.8,,5,0,6,1
2017,4,,28,32.7,23.4,1006.4,72.2,230.38,4.8,3.5,8.1,,9,0,7,0
2017,5,,29.9,34.3,25.6,1004.6,72.4,201.69,5.1,2.2,7,,10,0,6,0
2017,6,,29.3,33,26.3,1000.7,78.5,240.54,4.9,2.1,5.8,,7,0,6,0
2017,7,,28.8,31.5,26.4,1000.7,83,468.13,4.4,1.4,4.3,,14,0,8,0
2017,8,,29.2,32.4,26.8,1002.1,82.2,574.3,4.6,1,4.3,,19,0,9,0
2017,9,,29.3,32.9,26.7,1004.9,81.3,383.03,4.6,1.2,4.7,,15,0,9,0
2017,10,,27.7,31.7,24.8,1006.9,79.4,349.75,4.3,2.3,6.3,,9,0,1,0
2017,11,,25.4,30.3,20.6,1011,64,5.85,4.3,1.6,5.4,,3,0,0,0
2017,12,,21.6,26.5,17.1,1013.6,73.6,33.01,3,0.5,4.4,,3,0,0,7
2018,1,,17.1,23.1,12.3,1012.5,67.5,0,2.4,1.3,4.6,,0,0,0,9
2018,2,,23.4,29.2,18.3,1012.5,57,20.32,3.3,1.4,5.6,,1,0,1,4
2018,3,,27.3,33.3,21.7,1009.1,56.9,17.27,4.4,2,5.7,,2,0,0,0
2018,4,,27.4,33,22.1,1007.8,67.6,331.46,4.6,3.2,10,,10,0,13,0
2018,5,,27.9,32.4,23.6,1005.5,76.6,333.76,4.6,4.2,9.2,,15,0,12,0
2018,6,,29.4,33.4,25.6,999.6,81,304.3,4.5,3.5,10.4,,20,0,11,0
2018,7,,29.4,32.6,26.7,998.9,81,354.84,4.5,3.7,7.9,,22,0,5,0
2018,8,,29.8,33.6,27.1,1000,77.6,166.12,4.6,3.2,8,,19,0,4,0
2018,9,,29.8,33.7,26.7,1005.6,76.2,75.43,4.8,3.9,9.9,,10,0,6,0
2018,10,,27.4,31.6,23.5,1010.8,69.5,55.37,4.2,2.3,8.1,,7,0,0,0
2018,11,,23.6,29.7,18.9,1013.1,65.5,0,3.7,1.1,5.9,,0,0,0,0
2018,12,,21.5,27.6,16.5,1013.2,61.8,0,3.7,1.1,5.6,,0,0,0,0
2019,1,,19.7,26.1,13.3,1016.4,57.2,0,3.6,1.5,5.4,,0,0,0,0
2019,5,,29.9,34,25.2,1003.5,73.7,70.11,5,5.5,12.1,,3,0,2,0
2019,6,,29.8,33.4,26.4,1001.1,79,246.36,4.8,4.5,11.2,,15,0,11,0
2019,7,,29.3,32.8,26.9,1000.3,81.9,360.4,4.5,4.7,9.6,,21,0,9,0
2019,8,,30,33.7,27,1000.7,78.3,218.45,4.7,4.1,8.5,,17,1,1,0
2019,9,,29.1,33.3,26.3,1006.3,80,162.32,4.7,2.8,7.3,,21,0,9,0
2019,10,,27.4,31.6,24,1010,78.5,146.29,4.5,2,7.1,,8,0,6,0
2019,11,,24.9,30.3,20.8,1011.6,72.5,36.58,4.1,1.7,6.1,,3,0,0,0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
